key,name,standardMgKg,doseRangeLo,doseRangeHi,maxMg,maxMgPerDay,dosesPerDay,concMgMl,note,rx,special
neuro_pain|0,Paracetamol PO (120mg/5ml),12,10,15,996,,,24,,,
neuro_pain|1,Paracetamol PO (250mg/5ml),12,10,15,1000,,,50,,,
neuro_pain|2,Paracetamol Drops PO (100mg/ml),12,10,15,1000,,,100,,,
neuro_pain|3,Paracetamol IV (10 mg/ml),12,10,15,1000,,,10,,,
neuro_pain|4,Ibuprofen PO (100mg/5ml),10,5,10,400,,,20,,,
neuro_pain|5,Morphine IV (1 mg/ml),0.1,,,10,,,1,,,
neuro_pain|6,Fentanyl IV (50 mcg/ml),,,,,,,,,,Non-standard dosing (not live-editable) - 1 mcg/kg. Max 100 mcg (2 ml)/dose.
neuro_pain|7,Ketorolac IV (30 mg/ml),0.5,,,30,,,30,,,
neuro_pain|8,Diazepam Rectal Gel (5 mg/ml),0.5,,,20,,,5,,,
neuro_pain|9,Diazepam IV (5 mg/ml),0.2,,,10,,,5,,,
neuro_pain|10,Lorazepam IV (2 mg/ml),0.1,,,4,,,2,,,
neuro_pain|11,Midazolam IN/Buccal (5 mg/ml),0.2,,,10,,,5,,,
respiratory|0,Cetirizine Syrup (5mg/5ml),0.25,,,10,,,1,,,
respiratory|1,Chlorpheniramine Syrup (2mg/5ml),0.08,,,4,,,0.4,,,
respiratory|2,Salbutamol Syrup (2mg/5ml),0.15,0.1,0.15,4,,,0.4,,,
respiratory|3,Salbutamol Nebulizer (2.5 mg/nebule),,,,,,,,,,Non-standard dosing (not live-editable) - 1 nebule (2.5 mg) per dose. Standard unit-dose nebule.
respiratory|4,Ipratropium Nebulizer (250 mcg/ml),,,,,,,,,,Non-standard dosing (not live-editable) - <20 kg: 1 ml (250 mcg). ≥20 kg: 2 ml (500 mcg max).
respiratory|5,Budesonide Nebulizer (0.5 mg/2ml respule),,,,,,,,,,Non-standard dosing (not live-editable) - 1-2 respules by severity. Max 2 mg/day.
respiratory|6,Dexamethasone PO/IV (4 mg/ml),0.6,0.15,0.6,16,,,4,,,
respiratory|7,Prednisolone PO (5mg/5ml),,,,,,,,,,Non-standard dosing (not live-editable) - Asthma: 1 mg/kg. Max 60 mg (12 ml)/day.
respiratory|8,Hydrocortisone IV,4,2,4,250,,,,,,
respiratory|9,"Adrenaline Nebulizer (Croup) (1:1,000)",,,,,,,,,,Non-standard dosing (not live-editable) - 0.5 ml/kg. Max 5 ml (5 mg)/dose.
respiratory|10,Magnesium Sulfate IV (Asthma),50,,,2000,,,500,,,
gi|0,Ondansetron PO (4mg/5ml),0.15,0.1,0.15,8,,,0.8,,,
gi|1,Ondansetron IV (2 mg/ml),0.15,,,8,,,2,,,
gi|2,Domperidone PO (1mg/ml),0.25,0.25,0.4,10,,,1,,,
gi|3,Omeprazole PO/IV,1,,,40,,,,,,
gi|4,Famotidine PO/IV (10 mg/ml),0.5,,,20,,,10,,,
gi|5,Lactulose PO (3.3g/5ml),,,,,,,,,,Non-standard dosing (not live-editable) - 1 ml/kg. Max 30 ml/dose.
gi|6,Lidocaine Oral Gel 2% (topical - mouth ulcers),,,,,,,,,,Non-standard dosing (not live-editable) - Topical mucosal analgesia for HFMD/herpangina ulcers. Apply sparingly with cotton tip. Do not swallo…
gi|7,Eurofer PO (10 mg iron/ml),6,3,6,100,,2,10,,,
antimicrobial|0,Amoxicillin Drops (50mg/ml),45,25,50,1000,,2,50,,,
antimicrobial|1,Amoxicillin PO (250mg/5ml) - HIGH DOSE,90,80,100,1000,,2,50,,,
antimicrobial|2,Augmentin PO (457mg/5ml) - HIGH DOSE,90,80,100,880,,2,80,,,
antimicrobial|3,Augmentin ES PO (600mg/5ml) - HIGH DOSE,90,80,100,1020,,2,120,,,
antimicrobial|4,Azithromycin PO (200mg/5ml),10,10,12,500,,,40,,,
antimicrobial|5,Cephalexin PO (250mg/5ml),50,25,50,1000,,2,50,,,
antimicrobial|6,Cefdinir PO (125mg/5ml),14,7,14,600,,,25,,,
antimicrobial|7,Cotrimoxazole/Bactrim PO (200/40mg/5ml),8,6,12,160,,2,8,,,
antimicrobial|8,Ceftriaxone IV (Standard),70,50,100,2000,,,,,,
antimicrobial|9,Ceftriaxone IV (Meningitis),100,50,100,,4000,2,,,,
antimicrobial|10,Cefotaxime IV,150,100,200,2000,,3,,,,
antimicrobial|11,Meropenem IV,20,20,40,2000,,,,,,
antimicrobial|12,Vancomycin IV,15,10,15,1000,,,,,,
antimicrobial|13,Gentamicin IV,7.5,5,7.5,500,,,,,,
antimicrobial|14,Acyclovir IV,10,10,20,800,,,,,,
antimicrobial|15,Fluconazole IV/PO,6,6,12,800,,,,,,
antimicrobial|16,Oseltamivir PO (Tamiflu),,,,,,,,,,Non-standard dosing (not live-editable) - Weight-based bands. Max 75 mg/dose.
cardio|0,Furosemide PO (10 mg/ml),1,,,40,,,10,,,
cardio|1,Furosemide IV (10 mg/ml),1,,,40,,,10,,,
cardio|2,Spironolactone PO,1,,,100,,,,,,
cardio|3,Captopril PO,0.1,,,50,,,,,,
